id_catalogo,id_dia,nombre_catalogo,tipo,marca_catalogo,nombre_dia,marca_dia,precio_dia,score,motivo
CAT-1127,DI-0997,mix mini barritas de chocolate,marca_blanca,,Mini barritas de chocolate con leche y avellanas Kinder bolsa 108 g,Kinder,2.99,4,"mini barritas de chocolate pero marca Kinder no coincide con marca_blanca, especificaciones distintas"
CAT-3030,DI-0033,bechamel,marca_blanca,,Crema de bechamel con lenguado Hero frasco 235 g,Hero,1.85,4,ambos bechamel pero diferente: bechamel pura vs bechamel con lenguado
CAT-1019,DI-1703,yogur sabor coco,marca_blanca,,Yogur líquido sabor piña y coco Dia Láctea botella 1 Kg,Dia Láctea,1.49,4,"yogur sabor coco vs yogur líquido piña y coco, formato y sabores diferentes"
CAT-2140,DI-0137,zumo de manzana,marca_blanca,,"Zumo de melocotón, uva y manzana Don Simón 1 L",Don Simón,1.5,4,"zumo de manzana vs zumo mezcla melocotón-uva-manzana, distinto tipo"
CAT-0358,DI-3443,pollo teriyaki,marca_blanca,,Yarroz con pollo teriyaki Gallina Blanca 84 g,Gallina Blanca,1.99,4,"pollo teriyaki vs arroz con pollo, categoría diferente (plato preparado vs componente)"
CAT-0182,DI-2348,café molido,marca_blanca,,Café molido natural Colombia Marcilla 200 g,Marcilla,6.05,4,café molido pero distinta marca fabricante: Dia vs Marcilla
CAT-3306,DI-4742,crema catalana,marca_blanca,,Preparado para crema catalana Royal caja 120 g,Royal,1.99,4,"crema catalana vs preparado para crema catalana, diferente formato (producto terminado vs preparado)"
CAT-0662,DI-1630,confitura de fresa sin azúcar,marca_blanca,,Confitura de arándanos y frambuesas 0% azúcares añadidos Hero bote 280 g,Hero,2.99,4,misma categoría (confituras) pero distinto tipo: fresa vs arándanos-frambuesas
CAT-2636,DI-3006,garbanzo,marca_blanca,,Hélices 100% de garbanzo Gallo 250 g,Gallo,1.99,4,ambos con garbanzo pero diferente formato: garbanzo seco vs hélices/pasta de garbanzo
CAT-4040,DI-0007,yogur líquido de fresa,marca_blanca,,Yogur líquido de fresa y platano Actimel pack 6 x 100 g,Actimel,3.99,4,"yogur líquido, pero sabor distinto (fresa vs fresa+plátano) y marca diferente"
CAT-0748,DI-4613,chocolate con leche avellanas troceadas,marca_blanca,,Chocolate con leche con avellanas Milka 250 g,Milka,5.75,4,"chocolate con leche y avellanas pero marcas distintas (marca_blanca vs Milka), especificaciones diferentes"
CAT-2237,DI-1075,limpiador baños desinfectante,marca_blanca,,Limpiador desinfectante baños Sanytol spray 750 ml,Sanytol,3.29,4,"ambos son limpiadores de baño desinfectantes pero marcas diferentes (Sanytol vs marca_blanca), no coinciden requisitos marca_fabricante"
CAT-2578,DI-3753,queso viejo ahumado de oveja,marca_blanca,,Queso de oveja tierno ahumado 175 g,DIA,3.99,4,"queso viejo ahumado oveja vs queso tierno ahumado oveja, distintos tipos de maduración"
CAT-1112,DI-0903,tarta de queso,marca_blanca,,Preparado para tarta de queso Royal caja 300 g,Royal,3.99,4,"tarta de queso vs preparado para tarta de queso, productos distintos"
CAT-4017,DI-2853,refresco té sabor melocotón sin azúcar,marca_blanca,,Refresco de té con melocotón zero San Benedetto 500 ml,San Benedetto,0.75,4,"marca blanca vs San Benedetto, ambos té melocotón zero pero marcas distintas"
CAT-1568,DI-1468,refresco té verde,marca_blanca,,Refresco de té verde con aloe vera San Benedetto 1.5 L,San Benedetto,1.15,4,"ambos té verde pero marca blanca vs San Benedetto con aloe vera, distinto producto"
CAT-0928,DI-1691,filetes de melva en aceite de oliva,marca_blanca,,Filetes de caballa en aceite de oliva bajo en sal Calvo 82 g,Calvo,2.39,4,"productos de pescado en aceite pero distinto tipo: melva vs caballa, categóricamente diferentes"
